,0
"tGravityAcc-arCoeff()-Z,4",0.0020328783938898484
fBodyAcc-std()-X,0.0019394624242037434
tBodyGyroJerk-std()-X,0.0018789921246792282
tBodyAccMag-mean(),0.0018336907763434535
fBodyGyro-mad()-X,0.0018331865992267026
fBodyGyro-maxInds-Y,0.001814007081958708
tGravityAcc-std()-Y,0.0017068793974812564
"tBodyAcc-correlation()-Y,Z",0.0016979314814039505
tBodyGyroJerk-mad()-X,0.001610823285119465
tBodyAccMag-sma(),0.0015681420801627835
fBodyBodyAccJerkMag-max(),0.0015654319434539453
tBodyGyro-energy()-Z,0.001562629715257358
fBodyBodyAccJerkMag-std(),0.0015496997448066873
fBodyAcc-meanFreq()-Y,0.001525544662785144
tBodyGyro-min()-X,0.0015171856213483867
"tBodyGyroJerk-arCoeff()-X,1",0.001503568929797816
"fBodyGyro-bandsEnergy()-9,16",0.0014475911743760189
fBodyGyro-max()-Z,0.0014274451695953706
tBodyAcc-iqr()-X,0.001413073996694132
fBodyGyro-entropy()-X,0.0013944250889875167
fBodyGyro-skewness()-Z,0.0013940381390000853
tGravityAcc-mad()-X,0.0013840544895618715
"tBodyGyro-correlation()-X,Y",0.0013491091194348262
tGravityAcc-mad()-Y,0.0013474817997858942
tBodyAccJerkMag-iqr(),0.0013376985706879485
fBodyAcc-skewness()-Y,0.0013023857676491466
tBodyAcc-entropy()-X,0.001299065622945436
tGravityAcc-mad()-Z,0.001298043458854368
tGravityAcc-iqr()-X,0.001284766849681704
fBodyAccMag-entropy(),0.0012254260282997286
"tBodyAcc-correlation()-X,Z",0.0012240281432406136
"fBodyGyro-bandsEnergy()-1,8nn",0.0012172798128818906
tBodyGyroJerk-entropy()-X,0.0011929791553204378
tBodyGyro-mean()-X,0.0011767476029736108
tGravityAccMag-sma(),0.0011596360207334335
tGravityAccMag-energy(),0.001153805719793799
fBodyGyro-max()-Y,0.0011314311794037874
"tGravityAcc-correlation()-Y,Z",0.0011080656617985377
"tBodyGyro-correlation()-Y,Z",0.0010890068308309247
"fBodyAcc-bandsEnergy()-17,24nn",0.00108163677910806
"fBodyAcc-bandsEnergy()-17,32nn",0.0010813497974528996
tBodyGyroJerk-min()-X,0.0010776377943549054
fBodyGyro-kurtosis()-Z,0.0010746281336886418
fBodyBodyAccJerkMag-energy(),0.001074360942759769
fBodyBodyGyroMag-maxInds,0.0010541072940478404
fBodyAcc-skewness()-X,0.0010439338597067038
"fBodyAcc-bandsEnergy()-17,24n",0.0010354965510445807
"tBodyGyro-arCoeff()-X,1",0.0010267308588700328
"fBodyAcc-bandsEnergy()-1,8nn",0.0010261171474845701
fBodyGyro-std()-Z,0.0010068038903354162
tBodyGyro-mad()-Z,0.0009893423525492583
tGravityAccMag-iqr(),0.000967862547536517
fBodyAcc-max()-Y,0.0009520088845487752
fBodyGyro-skewness()-Y,0.000951206957643531
"fBodyGyro-bandsEnergy()-1,16nn",0.0009368919108564301
"tBodyAccJerk-correlation()-X,Y",0.0009342679277982233
tBodyAccMag-energy(),0.0009263304281182087
tBodyGyro-iqr()-Z,0.000925287453619425
tBodyGyroJerk-energy()-X,0.0008951261906890645
fBodyAccJerk-maxInds-Z,0.00087421411096858
"fBodyAcc-bandsEnergy()-17,32n",0.0008741920700352893
fBodyGyro-energy()-Z,0.0008695045308998391
tBodyGyro-energy()-X,0.0008553624059575592
fBodyAccMag-iqr(),0.0008480389538981841
fBodyAcc-kurtosis()-Y,0.0008393706970689963
fBodyGyro-kurtosis()-Y,0.00083054113559715
"fBodyAcc-bandsEnergy()-1,8n",0.0008284460198955877
tGravityAcc-std()-Z,0.0008238708336096418
fBodyAcc-meanFreq()-X,0.000817906951457524
tBodyGyro-std()-Z,0.0007968851561161153
"fBodyGyro-bandsEnergy()-1,24nn",0.0007963912472804877
"tBodyGyro-correlation()-X,Z",0.0007951813219321997
"fBodyAccJerk-bandsEnergy()-1,8nn",0.0007651151590807987
tBodyGyro-min()-Z,0.0007542916853116512
fBodyBodyAccJerkMag-skewness(),0.0007518463880431298
"fBodyAccJerk-bandsEnergy()-17,24nn",0.0007424417499743346
"tBodyGyroJerk-arCoeff()-X,3",0.0007424271510238222
tBodyGyroJerk-sma(),0.0007398091713695445
tBodyAcc-mad()-Z,0.0007170945316998909
fBodyAcc-max()-Z,0.0007158598542364554
tBodyAcc-std()-Y,0.0007130335722077221
"tGravityAcc-correlation()-X,Z",0.0007042042470017157
tBodyGyroJerkMag-mad(),0.0006919727372644905
"fBodyGyro-bandsEnergy()-1,16n",0.0006897302357498076
